Hotel_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
378,Coquimbo,CL,66.16,-29.9533,-71.3436,Hotel San Juan
380,Baillif,GP,74.7,16.0202,-61.7463,Hôtel Saint-Georges
381,Oriximina,BR,75.97,-1.7656,-55.8661,Pousada Tia Amélia
385,Bac Lieu,VN,83.97,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
387,General Roca,AR,66.6,-39.0333,-67.5833,Hotel El Recreo
389,Takoradi,GH,78.66,4.8845,-1.7554,Raybow International Hotel
393,Angoram,PG,76.89,-4.0625,144.0661,
396,Alirajpur,IN,66.87,22.3031,74.3546,Shree Yatindrasuri Indra Bhavan
399,Bara,NG,72.43,10.3744,10.7288,
400,Taltal,CL,65.73,-25.4,-70.4833,Residencial Karime
402,Kaduna,NG,70.38,10.5222,7.4383,HAMDALA HOTEL
403,Soc Trang,VN,86.81,9.6033,105.98,Phu Quy Hotel
406,Soe,ID,79.5,-9.8607,124.284,Dena Hotel
408,Manado,ID,83.07,1.487,124.8455,Aryaduta Hotel
409,Puerto Escondido,MX,78.4,15.85,-97.0667,Aldea del Bazar Hotel and Spa
411,Chabahar,IR,71.1,25.2919,60.643,هتل گدروشیا
415,Dingle,PH,83.23,10.9995,122.6711,SEGAYA PROPERTY
419,Oistins,BB,77.09,13.0667,-59.5333,Butterfly Beach Hotel
425,Bria,CF,70.39,6.5423,21.9863,WFP Guesthouse
426,Maragogi,BR,79.14,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
427,Okato,NZ,68.88,-39.2,173.8833,Goodin Country Garden
430,Otukpo,NG,77.07,7.1913,8.1329,Queen s Hotel
431,Eyl,SO,74.3,7.9803,49.8164,Amiin Hotel
432,Acarau,BR,78.78,-2.8856,-40.12,castelo pizzaria
433,Pimentel,PE,73.65,-6.8367,-79.9342,Casona Del Muelle
434,Matara,LK,76.73,5.9485,80.5353,Amaloh Boutique Resort
436,San Cristobal,VE,69.98,7.7669,-72.225,Pirineos
437,Waingapu,ID,83.93,-9.6567,120.2641,Pondok Wisata Elim
441,Ambanja,MG,73.9,-13.6833,48.45,Hotel Salama and Fast Food
445,Paka,MY,82.33,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
446,Ishigaki,JP,77.13,24.3448,124.1572,Hotel Peace Land Ishigakijima
448,Huhi,MX,75.16,20.7167,-89.1667,cenote de la tortuga
449,Labuhan,ID,81.81,-6.8844,112.2051,DoubleFAG
452,Surgana,IN,67.73,20.5667,73.6167,Taj Hotel
456,Pontian Kecil,MY,81.57,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
458,Laranjeiras Do Sul,BR,67.24,-25.4078,-52.4161,Hotel Palmeiras
460,Cabatuan,PH,83.73,10.8794,122.486,MVC Transient Room
462,Manggar,ID,82.33,-2.8833,108.2667,Guest Hotel
464,Presidencia Roque Saenz Pena,AR,75.47,-26.7852,-60.4388,Hotel Gualok
468,Namibe,AO,73.08,-15.1961,12.1522,Hotel Chik Chik Namibe
469,Tadine,NC,80.67,-21.55,167.8833,
470,San Pedro,PH,83.55,14.35,121.0167,Esquivel's Garden And Resort
471,Popondetta,PG,80.62,-8.7537,148.2534,Timos Transit House
472,Maceio,BR,78.24,-9.6658,-35.7353,Hotel Ponta Verde Maceió
477,Charlestown,AU,73.11,-32.95,151.6667,Panorama Motor Inn Hotel
484,Boma,GH,72.57,7.0805,-2.1697,Obaatanpa Hotel
486,Quatre Cocos,MU,78.42,-20.2078,57.7625,Sunrise Attitude Hotel
489,La Asuncion,VE,76.51,11.0333,-63.8628,Colinas de Matasiete
490,Cabo Rojo,PR,75.4,18.0866,-67.1457,Hotel Perichi's
494,Bairiki,KI,81.75,1.3292,172.9752,Tarawa Boutique Hotel
496,Villamontes,BO,76.87,-21.25,-63.5,Hotel Raldes
498,Mount Gambier,AU,70.27,-37.8333,140.7667,The Commodore
499,Ixtapa,MX,66.42,20.7,-105.2,hotel la terminal
501,Balingasay,PH,82.44,16.3573,119.8564,Rock Garden Resort
503,Hirara,JP,71.82,24.8,125.2833,Hotel Atoll Emerald Miyakojima
504,Krabi,TH,81.48,8.0726,98.9105,Tharapark View Hotel
506,Pakxe,LA,85.89,15.1167,105.7833,Champasak Palace Hotel
507,Vanimo,PG,81.23,-2.6741,141.3028,Vahmoneh Lodge Vanimo
508,Montego Bay,JM,78.6,18.4712,-77.9188,Sunscape Splash Montego Bay
510,Pochutla,MX,74.25,15.7432,-96.4661,Hotel Posada San Jose
513,Uberaba,BR,77.58,-19.7483,-47.9319,Tamareiras Park Hotel
514,Dourados,BR,75.6,-22.2211,-54.8056,Alphonsus Hotel
516,Sibolga,ID,79.0,1.7427,98.7792,Hotel Syariah CN Darussalam
519,Ranau,MY,75.85,5.9538,116.6641,The Second Room
520,Harindanga,IN,75.4,22.0383,88.3214,Hazi Home
525,Harper,LR,79.45,4.375,-7.7169,Screensaver
527,Ormara,PK,70.84,25.2088,64.6357,Kenara Colony house for Rent
528,Libreville,GA,79.75,0.3925,9.4537,Le Méridien Re-Ndama
529,De Aar,ZA,66.04,-30.6497,24.0123,Nyibiba Guesthouse
530,Sorong,ID,84.0,-0.8833,131.25,Waigo Splash Hotel
533,Byron Bay,AU,82.51,-28.65,153.6167,Backpackers Inn
537,Voh,NC,84.09,-20.9667,164.7,Le gîte du Koniambo
539,Can Tho,VN,82.38,10.0333,105.7833,Kim Lan Hotel Can Tho
541,Calvinia,ZA,65.93,-31.4707,19.776,Die Lemoenhuis
543,Kaili,ID,78.12,-3.4626,120.2147,
545,Conceicao Do Araguaia,BR,74.52,-8.2578,-49.2647,Tarumã Tropical Hotel
546,Birao,CF,75.65,10.2849,22.7882,
547,Luwuk,ID,87.42,-0.9516,122.7875,Hotel Santika Luwuk
