City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Florianopolis,BR,79.38,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
237,Jardim,BR,79.83,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
242,Etchoropo,MX,78.35,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
244,Santa Rita,BR,83.07,broken clouds,-7.1139,-34.9781,Infinity Motel
245,Mazamari,PE,73.67,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
249,Meulaboh,ID,75.76,broken clouds,4.1363,96.1285,Kost Pria
251,Eldorado,BR,79.09,moderate rain,-23.7869,-54.2836,Villa Verde Hotel
260,Bubaque,GW,77.07,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
261,Hervey Bay,AU,76.03,broken clouds,-25.2986,152.8535,Shelly Bay Resort
262,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
263,Caravelas,BR,78.26,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
265,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
267,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
279,Maceio,BR,72.84,moderate rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
281,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
283,Ovalle,CL,77.83,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
292,Cabinda,AO,79.52,overcast clouds,-5.55,12.2,Hotel Maiombe
293,San Antonio,US,83.95,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
297,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
298,Magelang,ID,75.74,overcast clouds,-7.4706,110.2178,Atria Hotel Magelang
300,Axim,GH,79.95,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
304,Antofagasta,CL,70.88,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
307,San Policarpo,PH,79.81,broken clouds,12.1791,125.5072,Agapita M. Nicart
311,Quelimane,MZ,78.75,few clouds,-17.8786,36.8883,Hotel Flamingo
315,Paramirim,BR,73.92,heavy intensity rain,-13.4425,-42.2389,Pousada Rio Pequeno
322,Flinders,AU,75.06,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
323,Poptun,GT,70.84,overcast clouds,16.3311,-89.4169,Hotel Sevilla
325,Japura,ID,73.24,broken clouds,-0.3167,102.35,Rumah mbah Jamah
330,East London,ZA,70.12,overcast clouds,-33.0153,27.9116,Tu Casa
331,Piacabucu,BR,79.75,light rain,-10.4056,-36.4344,Piaçabuçu News
335,Banamba,ML,76.57,overcast clouds,13.55,-7.45,Kassela de Banamba
342,Olinda,BR,78.53,light intensity shower rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
344,Anori,BR,75.29,heavy intensity rain,-3.7728,-61.6442,Novo Hotel 5 Irmãos
345,Sao Felix Do Xingu,BR,75.49,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
346,Sola,VU,81.99,scattered clouds,-13.8833,167.55,Leumerus Bungalows
349,Huntsville,US,80.13,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
352,Truth Or Consequences,US,73.63,clear sky,33.1284,-107.2528,Charles Motel
353,Port Moresby,PG,78.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
357,Puerto Baquerizo Moreno,EC,79.79,broken clouds,-0.9,-89.6,Hotel los Algarrobos
360,Sur,OM,73.33,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
361,Matara,LK,75.54,light rain,5.9485,80.5353,Amaloh Boutique Resort
363,Buctzotz,MX,81.93,broken clouds,21.2,-88.7833,Buctoztz
365,Carauari,BR,75.27,overcast clouds,-4.8828,-66.8958,Hotel Fellip
366,Calamar,CO,84.15,scattered clouds,10.2511,-74.9146,Hostal Katyalex
367,Ibimirim,BR,76.32,light rain,-8.5406,-37.6903,Hotel Paulistão
369,Puerto Cabezas,NI,84.16,broken clouds,14.0351,-83.3888,Cabaña Caribe
376,Zorritos,PE,82.69,light rain,-3.6805,-80.6782,Hotel Pinamar
378,Lincoln,US,72.9,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
380,Biak,ID,76.87,moderate rain,-0.9131,122.8766,Penginapan Kim
381,Pemangkat,ID,75.56,overcast clouds,1.1667,108.9667,Ramah Kost KITA
382,Mattru,SL,76.8,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
383,General Roca,AR,77.63,broken clouds,-39.0333,-67.5833,Hotel El Recreo
389,Ahuimanu,US,80.78,few clouds,21.4447,-157.8378,Paradise Bay Resort
391,Christchurch,NZ,72.03,broken clouds,-43.5333,172.6333,The George
392,Rio Grande,BR,78.94,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
393,Pisco,PE,78.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
398,Camopi,GF,72.39,light rain,3.1655,-52.3158,La pousada
401,Sydney,AU,74.34,light rain,-33.8679,151.2073,The Grace Sydney
402,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
404,Macae,BR,76.75,few clouds,-22.3708,-41.7869,Golden Tulip Macaé
407,Ilo,PE,72.99,scattered clouds,-17.6394,-71.3375,Torreblanca Hotel
409,Chabahar,IR,73.6,overcast clouds,25.2919,60.643,هتل گدروشیا
410,Phan Thiet,VN,73.49,scattered clouds,10.9333,108.1,Hotel Saigon-PT
411,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
413,Ferkessedougou,CI,84.63,broken clouds,9.6,-5.2,Hotel Chateau
415,Kongolo,CD,70.61,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
419,Gunjur,GM,73.47,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
